method,category,implementation_backend,time_ms_per_image,memory_bank_size,parameter_count
EfficientAD,breakfast_box,fallback_global_feature_teacher_student_proxy,22.42111331750396,0,0
EfficientAD,juice_bottle,fallback_global_feature_teacher_student_proxy,22.741806419337724,0,0
EfficientAD,pushpins,fallback_global_feature_teacher_student_proxy,21.24313052767642,0,0
EfficientAD,screw_bag,fallback_global_feature_teacher_student_proxy,19.938332640894874,0,0
EfficientAD,splicing_connectors,fallback_global_feature_teacher_student_proxy,18.51990519085903,0,0
