method,category,defect_type,count,mean,std,min,25%,50%,75%,max
Best Fusion,breakfast_box,good,102.0,0.7432339791107245,0.5062788688120293,-0.335242860650985,0.4161947857144862,0.7096596476986223,1.0956231662872826,2.053681702674996
Best Fusion,breakfast_box,logical_anomalies,83.0,7.42481676852801,10.027186914199886,-0.1790305916766107,1.2583482704322757,2.190479353266478,9.026242143165494,37.25657923192087
Best Fusion,breakfast_box,structural_anomalies,90.0,1.2434991420948651,0.7710479226878464,-0.1316275464921256,0.7095958108260061,1.2305327274987108,1.7241674060339687,3.267625174822031
Best Fusion,juice_bottle,good,94.0,0.3091024620852337,0.2464519136359421,-0.2629113096574768,0.13576188934930317,0.30616952420236554,0.4635233939630179,1.1521222915152889
Best Fusion,juice_bottle,logical_anomalies,142.0,1.5355789574464698,1.1723931542723816,-0.1298336410191947,0.5175748559198536,1.258520475035951,2.450361458089023,4.295241906161552
Best Fusion,juice_bottle,structural_anomalies,94.0,0.9934231509423662,1.0707851777679975,-0.0370122350004522,0.5122557777456731,0.749059261213463,1.0531020541819816,6.347414312488769
Best Fusion,pushpins,good,138.0,0.141274286299058,0.8029945874088226,-1.454724296446957,-0.611861727128396,0.3754464994649947,0.6633347740398415,2.261293619144262
Best Fusion,pushpins,logical_anomalies,91.0,0.9558638880979055,2.1315814766024492,-0.9379429726046012,-0.2648091030743169,0.2531548039050481,0.9062727241726373,7.711599695352564
Best Fusion,pushpins,structural_anomalies,81.0,70.29151996361756,422.52811759514134,0.0966920357463947,3.12393409107274,3.730062136446635,4.625151262712227,2932.4568087473062
Best Fusion,screw_bag,good,122.0,-0.5966689177539937,0.3581818094594848,-1.3297959989815098,-0.8546963666036133,-0.6715199402275371,-0.3547488204104161,0.7986466746103527
Best Fusion,screw_bag,logical_anomalies,137.0,-0.31349744756698006,0.4472028229087665,-1.187545648011151,-0.6741760371343075,-0.3613341417689446,-0.0645192598649457,1.094001906593313
Best Fusion,screw_bag,structural_anomalies,82.0,0.017470592753227567,0.6384660846573759,-0.8993772968560293,-0.4350524741401199,-0.17517993110740626,0.4305038306886425,2.6419935177027862
Best Fusion,splicing_connectors,good,119.0,-0.28822972691875226,0.38816900919946584,-1.159386798381275,-0.5624021578200908,-0.3277972002348119,-0.005725042074508,0.8936409463873727
Best Fusion,splicing_connectors,logical_anomalies,108.0,0.14425160292997088,1.658816701863181,-1.1368312916158572,-0.6618363170499664,-0.40021133267618836,0.0415804726209359,7.429124476938701
Best Fusion,splicing_connectors,structural_anomalies,85.0,1.0188354769988022,4.784248539363228,-1.0614216109738246,-0.3952274745426767,-0.1422093808151845,0.5114672675093228,27.04270902205468
CompositionHistogram,breakfast_box,good,102.0,6.184070061363993,1.203558550802899,3.987711780671338,5.388831761417099,6.003106932073608,6.7580866854333,10.364701679855647
CompositionHistogram,breakfast_box,logical_anomalies,83.0,16.21968990701517,15.062523485375005,3.768797928464533,8.05050818579472,9.5455906929284,18.00583910719998,68.61964365522118
CompositionHistogram,breakfast_box,structural_anomalies,90.0,6.706218310079724,1.724468328855025,3.797294591024952,5.574748208837244,6.367086674854688,7.5032562420613775,12.809634326624094
CompositionHistogram,juice_bottle,good,94.0,4.47817071399429,0.5100483791491979,3.4512017613972383,4.1352563333933325,4.444006047611127,4.807948735727194,6.2367821595439
CompositionHistogram,juice_bottle,logical_anomalies,142.0,5.384169486032681,1.435061357669147,3.374181217222082,4.482456013411598,4.9027040811691975,5.7897750038516484,10.06947365291179
CompositionHistogram,juice_bottle,structural_anomalies,94.0,4.735385651474939,0.677287959721945,3.5226075375175534,4.29010827641514,4.664201482311569,4.979680176334309,7.52863491914508
CompositionHistogram,pushpins,good,138.0,4.441141677130791,1.0195175439958826,2.271755109435605,3.618409742036917,4.4565859461649815,5.178808213899041,7.1316416259888
CompositionHistogram,pushpins,logical_anomalies,91.0,5.685095479300793,3.0606395437356317,2.773982963584184,4.097756391182331,4.680022922133905,5.412177433446432,15.343944378460773
CompositionHistogram,pushpins,structural_anomalies,81.0,7.068519493367226,1.5988568323281755,2.920478311346285,5.73917091305591,7.044013673869946,8.283596606440469,11.095912214518076
CompositionHistogram,screw_bag,good,122.0,4.63520693045793,0.742578149873351,3.0465819903115885,4.145389608064514,4.64460515620907,5.042930429541077,6.628206363724242
CompositionHistogram,screw_bag,logical_anomalies,137.0,5.09957443264373,1.0454767204326083,3.1555610474279927,4.438464359235766,4.993247120889172,5.672276085456158,8.43713093474121
CompositionHistogram,screw_bag,structural_anomalies,82.0,5.607673436457237,1.3982515329295153,3.170058701287939,4.658773975445537,5.315996886305637,6.668983530442196,10.776165402327315
CompositionHistogram,splicing_connectors,good,119.0,5.2454353175344135,1.006874797523571,3.171169911792774,4.596406052083326,5.219148127682513,5.699120669413949,8.277807107867703
CompositionHistogram,splicing_connectors,logical_anomalies,108.0,5.641413640252138,1.7710036638294242,3.208253707037218,4.376977656218469,5.153540178646317,6.516368649916744,11.00411005348543
CompositionHistogram,splicing_connectors,structural_anomalies,85.0,5.160487939025129,1.2688107070361392,3.1522157002121043,4.256358787439955,4.918318240679365,5.916016204785676,8.930677863163169
DINOv2 PatchMemory,breakfast_box,good,102.0,0.04517367407954028,0.003143650254424376,0.0398825907402591,0.04282751314400255,0.0445202904742096,0.04732050281912663,0.0550575540883848
DINOv2 PatchMemory,breakfast_box,logical_anomalies,83.0,0.04827767530264297,0.006870485465769516,0.038284932815342,0.0439613796430801,0.0467607983486297,0.050145986022649094,0.07086134904835
DINOv2 PatchMemory,breakfast_box,structural_anomalies,90.0,0.047143593696303394,0.004302255627956642,0.0407039614040787,0.04413154549116108,0.046680039831921497,0.04866062249562945,0.0652226241499373
DINOv2 PatchMemory,juice_bottle,good,94.0,0.047198646397475764,0.003562016706641578,0.0385026486224454,0.044690738722943005,0.0473940312750176,0.0494709870768286,0.0566348707334933
DINOv2 PatchMemory,juice_bottle,logical_anomalies,142.0,0.05305422828369929,0.008351553425211029,0.0332682833043325,0.047914518458532826,0.05156283599745025,0.05782120248479512,0.0770919601166421
DINOv2 PatchMemory,juice_bottle,structural_anomalies,94.0,0.05120518267518027,0.005425532152218246,0.041033432970216,0.04768187584525857,0.049957546943899395,0.054072403246773426,0.0733876560962189
DINOv2 PatchMemory,pushpins,good,138.0,0.028728782536742804,0.0031127685670720583,0.0225145753761645,0.026405446582524774,0.028656559975446298,0.0306557356638643,0.0375885967212214
DINOv2 PatchMemory,pushpins,logical_anomalies,91.0,0.028416633961941815,0.004731869626934307,0.0157662789431392,0.0264797635409037,0.0277805206921109,0.03007919770207485,0.0463796785299151
DINOv2 PatchMemory,pushpins,structural_anomalies,81.0,0.03750513462106538,0.003535599576627303,0.0282706762464214,0.0349466878716432,0.0372652240674658,0.0399374832986899,0.0455929001636466
