method,category,implementation_backend,time_ms_per_image,memory_bank_size,parameter_count,feature_backend,memory_feature_dim,region_memories,visual_words
EfficientAD,breakfast_box,fallback_global_feature_teacher_student_proxy,22.42111331750396,0,0,,,,
EfficientAD,juice_bottle,fallback_global_feature_teacher_student_proxy,22.741806419337724,0,0,,,,
EfficientAD,pushpins,fallback_global_feature_teacher_student_proxy,21.24313052767642,0,0,,,,
EfficientAD,screw_bag,fallback_global_feature_teacher_student_proxy,19.938332640894878,0,0,,,,
EfficientAD,splicing_connectors,fallback_global_feature_teacher_student_proxy,18.51990519085903,0,0,,,,
PatchCore,,,370.7748128739961,50000,0,dinov2-small,384.0,,
DINOv2 PatchMemory,,,367.3247024634261,50000,0,dinov2-small,384.0,,
GridAware DINOv2,,,154.22222485425326,455168,0,dinov2-small,,180.0,
CompositionHistogram,,,27.843806274416437,1778,1024,dinov2-small,,,32.0
