method,logical,overall,structural,mean_auroc,f1_logical,f1_overall,f1_structural
Best Fusion,0.7619978248016731,0.8113850899476172,0.8795712763541953,0.8207845505779342,0.7436398024629602,0.8065927013275275,0.7459791743338324
CompositionHistogram,0.7763879800062031,0.7138896675442433,0.6450713874659627,0.7107296837360829,0.729571799768181,0.7800812915542424,0.6342191828367578
DINOv2 PatchMemory,0.7167090196453058,0.756903346515364,0.8164616053170665,0.7665853124811861,0.7212694313053953,0.8039469871190331,0.7422099000341184
EfficientAD,0.634128086371259,0.6548401779647763,0.6832483225954815,0.6586882044833702,0.7012565971793335,0.7752571823715078,0.6189031256141424
Fusion Max,0.7687246050316298,0.827014692330571,0.9031187990183053,0.8359217020249675,0.753747219075439,0.8133378521201522,0.7478495747059138
Fusion RankAvg,0.7529484138133679,0.7847027181574544,0.8333325421255904,0.7931404779694791,0.7444035776689489,0.8123434522142852,0.7617800992106235
GridAware DINOv2,0.7172249862700404,0.753543839271825,0.8084033346238838,0.762814160446962,0.7269587693752708,0.8034201595494548,0.7445701745855701
PatchCore,0.7108945295747283,0.7657651479059615,0.8427299205326533,0.7768122250536909,0.7243177122931306,0.8060044155748622,0.7706102465967964
