method,logical,overall,structural,mean_logical_structural,f1_logical,f1_overall,f1_structural
Fusion (mean),0.731367581322486,0.7608689314319216,0.8038341532675897,0.7676008672950378,0.5923513444597237,0.6257623454331624,0.5758666861235983
DINOv2 Region-Aware Memory,0.7300868557937787,0.7502849529862619,0.7835846372058581,0.7568357464998184,0.5625881851012308,0.6259248819475597,0.6392754829204409
DINOv2 Patch Memory (NN),0.6974923920623638,0.7244003837715333,0.7651789158198561,0.73133565394111,0.548061616675341,0.6117136118570017,0.6119290859339458
Fusion (rank-avg),0.7268912865634104,0.7200662470329338,0.7197323993294947,0.7233118429464526,0.5578822948543818,0.5734547978816122,0.5139410944562455
Fusion (max),0.6917439451997538,0.7137043698355123,0.7414149665923624,0.7165794558960581,0.5616483915533428,0.5513409564186827,0.4387633187622317
Global Image-Stat Detector (proxy),0.634128086371259,0.6548401779647763,0.6832483225954815,0.6586882044833702,0.45728817193974447,0.4740175662029328,0.40377425951462464
DINOv2 Composition Histogram (BoVW),0.6435688622241795,0.5757051869414419,0.49814472397798737,0.5708567931010835,0.48653889038247344,0.39555894337233477,0.22062072227457402
